Timestamp,Faculty or Major :,What print resolution do you want?,Type of Material?,What kind of strength / fill density do you need? Note that higher density means more material and higher Cost.,Color of the Print? (PLA or ABS),"Upload your .STL file(s). Dimensions should be in mm. Format must be ""YOURNAME_NUMBER OF COPIES TO PRINT_FILENAME"" (e.g. ""JOHNDOE_2_Turtle.stl""). Only send in .STL files.","Rush order? (2-3 days instead of 5-7 days, 10%+$5 fee)"
04/02/2019 11:18:16,Engineering,Standard - 200 Microns,"ABS ($0.20/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(High Density and Strongest),Black (ABS + PLA),"https://drive.google.com/open?id=1AC0BpL9Aj41Cy48EZpw3fqEZTRGINFrP, https://drive.google.com/open?id=12bTV_6yFC5tv2Us0fnqYkJVHoDVUpf3V, https://drive.google.com/open?id=1ugAiNDyQbVfVh4P_nsgwASeHJHiWYhKG",
05/02/2019 11:23:10,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Silver (Extra $1) (PLA Only),https://drive.google.com/open?id=10avuD0xFNBXiIU8jwcrQiRiFPpLcXwLT,
05/02/2019 22:19:31,Science,Coarse - 300 Microns (Fastest Print time + Strongest Part),"ABS ($0.20/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1eUaF4Ibm5cYPmjGnhvEzP1dOVfG1w22m,
05/02/2019 22:45:34,Science,Coarse - 300 Microns (Fastest Print time + Strongest Part),"Ugly Flex (Small Prints Only) ($0.50, Strong, Flexible and around 80% rubber elasticity - Red Color)",25% grid,I picked a special filament,https://drive.google.com/open?id=1GTfXhtfkuWLBKcQPxa2Gd9jKHc9P04bF,
12/02/2019 09:45:31,Fine Arts,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1aweK5s5WyiWS8yf5omKJPHT8PVdz7rkv,
12/02/2019 16:29:45,Engineering,Standard - 200 Microns,Tranparent PolyCarbonate (Special Request Only),fill density of 40-45 % would be preferabble,I picked a special filament,"https://drive.google.com/open?id=1nSNRlsZVhvh8iyECJ5sxGhPXv2OnIw0V, https://drive.google.com/open?id=1wblgqb3RFBrzkYeLgbSYXaXYqOC_fYCs",
12/02/2019 17:48:31,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Dark Blue (PLA Only),"https://drive.google.com/open?id=1dpBnSpMlbgwpOzo1pqlXY7HZsF2UGv_b, https://drive.google.com/open?id=16rQiKcffyJQDOqkuUbLRK9I5QA1bTkRY, https://drive.google.com/open?id=1G31LyuXYx2QuXx6Rree0kVob08pkHaL7, https://drive.google.com/open?id=1Q7_Y1cml1jmIey4gtWkCtfoGrrXggI91, https://drive.google.com/open?id=1cqrCb0ICuO0Fn5Nmz1Hb2pMwSbuK2HaN",
12/02/2019 17:50:58,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Dark Blue (PLA Only),https://drive.google.com/open?id=1oUQtxrhh6STV5s0QHx5QcC1A813Eqolw,
12/02/2019 19:49:13,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1PiMqRsVQgEJGDXkmgmX4YIphOAe_S0x7,
13/02/2019 22:58:23,Science,Coarse - 300 Microns (Fastest Print time + Strongest Part),"ABS ($0.20/gram, More heat resistant than PLA, Oil Based - Only in Black and White)","20% grid infill, 3 layer shell",Black (PLA),https://drive.google.com/open?id=1hymXuGyqj2gfolnW1Jt8d_ScjBKkfB6a,
13/02/2019 23:00:25,Science,Coarse - 300 Microns (Fastest Print time + Strongest Part),"Ugly Flex (Small Prints Only) ($0.50, Strong, Flexible and around 80% rubber elasticity - Red Color)","20% grid infill, 3 layer shell",I picked a special filament,https://drive.google.com/open?id=1IOkHZOMmdekLkYI3ucuewzLfjJXPQjRY,
14/02/2019 19:14:57,Science,Coarse - 300 Microns (Fastest Print time + Strongest Part),"ABS ($0.20/gram, More heat resistant than PLA, Oil Based - Only in Black and White)","20% grid infill, 3 layers of shell (with exception to base layers near the holes, which fit only 2 layers)",Black (PLA),https://drive.google.com/open?id=1QYAfpk2tKNog0yQi_YHIrN-T-LrV1WVX,
14/02/2019 22:41:26,Forestry,Coarse - 300 Microns (Fastest Print time + Strongest Part),Transparent PolyCarbonate (Special Request Only),Shell 0% Infill (Weakest),I picked a special filament,https://drive.google.com/open?id=1tFxYh-8jHHel7GgcVAVJaSYmzLQCEJ28,
15/02/2019 10:51:55,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",Complete fill,Light Green (PLA Only),https://drive.google.com/open?id=1cP7e03CCOtqjuBoX0zv7egGfCRWokJT3,
16/02/2019 10:19:27,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),I picked a special filament,"https://drive.google.com/open?id=1YTXO1oNC1DqPi_KL42NXw4KRps3Ds3uQ, https://drive.google.com/open?id=1nXnoRRa0OKnpb5sfb8MGopZIvGael-aF",
16/02/2019 10:28:12,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1ZKdx1HUSHf66QOJIC0smthmrZScEPAJL, https://drive.google.com/open?id=14JDIkZV9D37GvRHcwX0VBquHzApojxj8, https://drive.google.com/open?id=1wN-t7trLCr3M8LAClXHNqNNtsO-X-9UK, https://drive.google.com/open?id=1cu27r-Faz-3GANsW2oCQDllCl_t9fu9Q, https://drive.google.com/open?id=1d0qXGutuKEQfSskJOjCs54bDBr9rnnhP",
17/02/2019 10:09:10,Architecture and Landscape Architecture,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)","(Low Density and decent strength, suggested for Art / Sculptures or certain Toys / Figurines)",White (ABS + PLA),"https://drive.google.com/open?id=1Rgi7tMHKlxYizL93Beglm_CJXP0lyeHP, https://drive.google.com/open?id=1nVffaQavsuPp6EDM9s9q56bxTJmhxxxk",
22/02/2019 08:44:54,Engineering,Coarse - 300 Microns (Fastest Print time + Strongest Part),"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (PLA),"https://drive.google.com/open?id=1_XCd7Gk9aNFE8eucCfUDrIjqDYidSExS, https://drive.google.com/open?id=1tPeo48pkBAVpCmHOjHDYNrzBs11YSQub, https://drive.google.com/open?id=1KIxknSo1v9hEipIZqifZB2jpUufYuhod",
22/02/2019 15:10:02,Engineering,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),White (ABS + PLA),https://drive.google.com/open?id=11S-718zYnNisNZLA4k249pBSp5tMXa9l,
23/02/2019 14:33:41,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1i1_T2M4ZbR_NfNX_AW6WVsYswfotEpgD, https://drive.google.com/open?id=1FOWc-EJcMhpbMneUimW6Rcj8IJEn-aOd, https://drive.google.com/open?id=126wrc2r4iCCJ-yeJu6uHi4udkZsCI3Qy, https://drive.google.com/open?id=19DQUwuT6Ag3Fb7Mnry7HnhXALdYFDJcZ",
25/02/2019 14:07:51,Engineering,Standard - 200 Microns,"ABS ($0.20/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(High Density and Strongest),Grey (ABS),"https://drive.google.com/open?id=1uezx5VcKBe_dyU91cwxcvmxL_-yEHqmK, https://drive.google.com/open?id=16epJ3e5OaiS3scqllV2HHUG4CAlOyJvZ, https://drive.google.com/open?id=10ItYOBqIoNob_JVuZj-3Bj8M4k6Mk0n5, https://drive.google.com/open?id=1kgn4xl5HxY3kzf5yiIiVG9UVvdXCMbE_, https://drive.google.com/open?id=1QoFWRkWiId5Emfrbq5-WXxSItLInnQsD",
26/02/2019 15:25:12,Science,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (PLA),https://drive.google.com/open?id=1pN6_VlquaTLKNehj2tHKemubpL8uj57e,
26/02/2019 15:52:59,Engineering,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Black (PLA),"https://drive.google.com/open?id=1FGtv8VTApFm_6Xa1-Vy9VJN9sdsASfGx, https://drive.google.com/open?id=1NTv0pjcfVQKmL_AcnWHgrv-YPUUTg_0U, https://drive.google.com/open?id=1FbMZADFHlTuCeFhok5vOP_BO-DvKInU_, https://drive.google.com/open?id=1OUMkIY530zMaJDAQUsU-1l3NBZ-MQjGq, https://drive.google.com/open?id=1cHGlNaPlR0ytD3xj4W_0OTQZ3CuG3u48",
26/02/2019 18:04:50,Engineering,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Black (PLA),"https://drive.google.com/open?id=1vFr1qUxiME41rGYk2lwOTeyPy30Gz8kC, https://drive.google.com/open?id=1uPxuZpSnn_JWKdDlTHET-Omb7t9YdZ75, https://drive.google.com/open?id=1qaO05ycytQJyLMONDQPnezPnvxrjpgIw, https://drive.google.com/open?id=1Ljqct0N92KtMmExZMMjVYGq1F2YPUTOD",
27/02/2019 07:34:13,Engineering,Standard - 200 Microns,"ABS ($0.20/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),Black (PLA),"https://drive.google.com/open?id=1gHTbrZSINT5_Gxd4BOSrE2Mt19d0aEYY, https://drive.google.com/open?id=1u1iHhDMhulLA40J9a081Us2rqdnc57Bv, https://drive.google.com/open?id=1km4SrZXaG8A8jzNUUzlY8lCA2eCXvA8x",
03/03/2019 14:38:02,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Dark Blue (PLA Only),"https://drive.google.com/open?id=1pcZuZusKKgtO2hT9R6E9ON94Bs_b4X6g, https://drive.google.com/open?id=1zsm5FBMdBt-H6qNnbwugvBGkCzWcCF1I, https://drive.google.com/open?id=1HqlWT0b7udKNNuGDKEKu-dMO9Xnw1YJT, https://drive.google.com/open?id=15-YppwpizMJ1dhDdSQXw262so22WcnYe, https://drive.google.com/open?id=1SSJUDGp48wirbXtpV9oX646Mq-MFBrE0",
03/03/2019 14:39:35,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (PLA),https://drive.google.com/open?id=1hhvj9TgqwayKGkCOEwjPK05BU7hl3Wjb,
03/03/2019 20:27:59,Science,Coarse - 300 Microns (Fastest Print time + Strongest Part),"ABS ($0.20/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(High Density and Strongest),White (ABS + PLA),"https://drive.google.com/open?id=1FMMz_yS8uJ2RVPbPuTT19g20oi17j61V, https://drive.google.com/open?id=1HSRGNoOZzgv-vniy6980hyaTxRkUWP98",
04/03/2019 17:45:40,Arts,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1obb6ZQb2afp7Ddgnescvn-wuWDQnKo8C,
05/03/2019 12:42:58,Engineering,Coarse - 300 Microns (fastest print time + strongest part),"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)",Standard Density (excellent strength for most uses),Black (PETG + PLA),"https://drive.google.com/open?id=1A1NHlS9Kv71fZp0maJjECNiCBEw8owwF, https://drive.google.com/open?id=1aSYC9A_MfTVI8ZWu8e_X96mMCpGLIrej, https://drive.google.com/open?id=10X0UKXz4j_mOJnZDBE0nUzPqsQFaZit1, https://drive.google.com/open?id=1sEj2IOHIN6vSK5jhOM1UdGw746r_TvII",
06/03/2019 09:33:01,Arts,Standard - 200 Microns,"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)",Standard Density (excellent strength for most uses),White (PETG + ABS + PLA),https://drive.google.com/open?id=1HrFcgLeBrZuk_R_PyvVEjxZSzwIvdn79,
12/03/2019 15:44:53,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)",Standard Density (excellent strength for most uses),Black (PETG + PLA),"https://drive.google.com/open?id=1IFhah9_MGGVxDNMZpbXLimfvU93cM8OS, https://drive.google.com/open?id=1rTjcJt65w9EQk2s_BriWXDnMu6SnODgz, https://drive.google.com/open?id=1komga-Dcrb4DoIITURGGSGlNYPHdXn3W",
12/03/2019 15:47:36,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)",Standard Density (excellent strength for most uses),Black (PETG + PLA),"https://drive.google.com/open?id=1kuCmNU53sbHYrjra-cyc0I0mkj6vnc5k, https://drive.google.com/open?id=1P92tauqoPeSvJL6QlUTegnfqXIRi6ehQ, https://drive.google.com/open?id=1RFAoyNT8zH7mIx8xRKm2yspDT5zCQHZN",
14/03/2019 12:11:05,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)",High Density (strongest),Black (PETG + PLA),"https://drive.google.com/open?id=1zYrPQdHiFev1EtFnmiY33Bj5p230oDpe, https://drive.google.com/open?id=13IwHGpzpKp6DW6uTc57MJlBY3RpmJb_3",
14/03/2019 21:51:02,Engineering,Standard - 200 Microns,"PETG ($0.20/gram, more durable, denser, and less rigid than ABS, less prone to warping - only in black and white)",Standard Density (excellent strength for most uses),Black (PETG + PLA),"https://drive.google.com/open?id=1DhAPYMg0EESne_rgfXjfyOHTTqFJvqaB, https://drive.google.com/open?id=1_CAMgGDI69y5TG5djceShdAg02C5sopD, https://drive.google.com/open?id=1romeY1KvDaIBtm2cm5yniX0oT_B33TK3, https://drive.google.com/open?id=1wUEONEqxfK2D97OgNOW2SAa1sx_jIbvN",
14/03/2019 22:53:38,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)","Not sure, please recommend in quote",White (PETG + ABS + PLA),"https://drive.google.com/open?id=1OvBoMxjMB_M-vZssRJqpP7Af3aG7BZuL, https://drive.google.com/open?id=1MhAW7EZYejDDnLTWkqIMLUwIp_kyyl8o, https://drive.google.com/open?id=1cSqJPCZQTkqzcdWP32LH21GDoIBK5reA, https://drive.google.com/open?id=1fCDijxLQGjyZcnMXmu8HICrUC-26gskC, https://drive.google.com/open?id=1q2l-c3_vpremy0wI89Cry98VjuF2Ch2O",
14/03/2019 23:50:38,Science,Coarse - 300 Microns (fastest print time + strongest part),"ABS ($0.20/gram, more heat resistant than PLA, oil based - only in grey and white)","30% grid infill, 3 layer shell",White (PETG + ABS + PLA),https://drive.google.com/open?id=1j5O-yFsgOMAS903lTOaZzK2x-kDTz7SR,
14/03/2019 23:51:58,Science,Coarse - 300 Microns (fastest print time + strongest part),"Ugly Flex (small prints only) ($0.50, strong, flexible and around 80% rubber elasticity - only in transparent red)","30% grid infill, 3 layer shell",I picked a special filament,https://drive.google.com/open?id=12eyClZfQP-R5P8tJCVlvVriuxxTST05I,
17/03/2019 18:37:29,Engineering,Standard - 200 Microns,"PETG ($0.20/gram, more durable, denser, and less rigid than ABS, less prone to warping - only in black and white)",High Density (strongest),White (PETG + ABS + PLA),"https://drive.google.com/open?id=17Dgw49GY2Kogw0iXejhl8e1qX5T5Xb7r, https://drive.google.com/open?id=1GWp6jRW6OB8QdL8N0DMu5LDzug9uMdp2, https://drive.google.com/open?id=1jdfjWznNh6b0AIUsnoUoTUJ__sHWpZ18",
20/03/2019 11:05:29,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)",Standard Density (excellent strength for most uses),White (PETG + ABS + PLA),"https://drive.google.com/open?id=1bOB-L47HP-clNu63Y5XBlg27BhNC7gVH, https://drive.google.com/open?id=1deXUIL_yuSwZuwkGpCfEWcr-Cf855kQY, https://drive.google.com/open?id=19N295Ge-JitgJTa4N78T9vT76X4QWHx7, https://drive.google.com/open?id=1e2c6RplCuAITzqg5q0etayosKCYIxfrx, https://drive.google.com/open?id=1MKUD0DgYlTUtCR4tzfsbSBM670-DQCRE",
21/03/2019 11:46:22,Engineering,Standard - 200 Microns,"PETG ($0.20/gram, more durable, denser, and less rigid than ABS, less prone to warping - only in black and white)",Standard Density (excellent strength for most uses),Black (PETG + PLA),https://drive.google.com/open?id=1zgpvgYFIebtSFUfzcjT7Wdkpm57ySZIK,
21/03/2019 16:04:41,Science,Coarse - 300 Microns (fastest print time + strongest part),"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)",10% infill,White (PETG + ABS + PLA),https://drive.google.com/open?id=1FxQ_29lMYYWFWm1qlU2IfB9rRWho8uFr,
21/03/2019 16:30:16,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)",Standard Density (excellent strength for most uses),Black (PETG + PLA),"https://drive.google.com/open?id=1GSB-f6nNJ2rdmp1hW570uQEQuI3f7bj1, https://drive.google.com/open?id=1Ri3XxtjSkpGVSxWUaq3LsfxYoMmDtCA-, https://drive.google.com/open?id=1_B4w_1jzVtCvB4eYc0Vel8SwwfW6_jVs",
21/03/2019 23:59:55,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)",Standard Density (excellent strength for most uses),White (PETG + ABS + PLA),"https://drive.google.com/open?id=1X_H-Mm9LQI82YLl_dKTGdJ1GsegdOWBr, https://drive.google.com/open?id=1rHmf-iWKWjxuuhjRcdNW3cs-wb3E0A9d, https://drive.google.com/open?id=1HlOjgzqd6xE-1q1R2IEsgA7kTdtiHmKs, https://drive.google.com/open?id=100wzOoo9C2yvb09SyrRlMq3Yi9kK7BGY, https://drive.google.com/open?id=1f-4Iuohg5MeFt-_ZFj9_u-gf_l2ktF8R",
22/03/2019 00:02:58,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)",Standard Density (excellent strength for most uses),I picked a special filament,https://drive.google.com/open?id=1NtaqkpduerPNsFqn0L_ZAMLK0EzcYBbW,
22/03/2019 11:34:13,Engineering,Coarse - 300 Microns (fastest print time + strongest part),"PETG ($0.20/gram, more durable, denser, and less rigid than ABS, less prone to warping - only in black and white)",High Density (strongest),Black (PETG + PLA),"https://drive.google.com/open?id=1gWdIzUF17YjuhwVAa3wBAWcqA7Hp-TYD, https://drive.google.com/open?id=1mYUH4tqQueQVIety0J93zvcwdzpLeYQN, https://drive.google.com/open?id=1XnR4d98UBKnBkjXR1R4AhF_qQQNyVHld",
22/03/2019 14:12:17,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)",Standard Density (excellent strength for most uses),Black (PETG + PLA),"https://drive.google.com/open?id=1J242VaSBs133XcxdpgO3CzCEs8iPFy-S, https://drive.google.com/open?id=1226U_YpCohdaTrrCZsKB9RAkW3LMhKP1",Yes
22/03/2019 14:21:09,Engineering,Standard - 200 Microns,"PETG ($0.20/gram, more durable, denser, and less rigid than ABS, less prone to warping - only in black and white)",Standard Density (excellent strength for most uses),Black (PETG + PLA),"https://drive.google.com/open?id=1USYr2nb4H6xoJ4e9Bg024ed7IN7lmlSQ, https://drive.google.com/open?id=19cRybOyteRAgzR9UnpBSgw-JGP2T9tnS",Yes
23/03/2019 00:06:35,Science,Coarse - 300 Microns (fastest print time + strongest part),"ABS ($0.20/gram, more heat resistant than PLA, oil based - only in grey and white)","Low Density (decent strength, suggested for art, sculptures, or certain toys and figurines)",White (PETG + ABS + PLA),https://drive.google.com/open?id=1nmTV-92Ond9WKAmSpA9zkh5z6QO84xEU,
23/03/2019 11:24:12,Engineering,Standard - 200 Microns,transparent PLA that we will provide (will send email) ,Standard Density (excellent strength for most uses),I picked a special filament,"https://drive.google.com/open?id=1-nkx-OIhgFOPJELEG9FOLYvVKLrGimva, https://drive.google.com/open?id=16Q9eHLwJ91nJezLdbE5LtF0siyUw7oOx",
23/03/2019 11:21:49,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)",Standard Density (excellent strength for most uses),White (PETG + ABS + PLA),"https://drive.google.com/open?id=1DwlFfr_k_HmybjEvL_ggFSIFufy9sLiZ, https://drive.google.com/open?id=129JDRgIzpjTTfIWGMT906w3tlUSe_veE, https://drive.google.com/open?id=1rNC3RH1d1pbdMBaEb0RYNiUwdYAQh71-, https://drive.google.com/open?id=1KE-QaSSCejGpVBu2drD4uNlKYyj7YTzh, https://drive.google.com/open?id=1jgFys4aYxOoLY9_ZNk6rThzkqCci3qSc",
23/03/2019 14:42:28,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)",Standard Density (excellent strength for most uses),Black (PETG + PLA),"https://drive.google.com/open?id=1yn9NkNeBZe2zduH1tWB8XS3j6q2sMgv9, https://drive.google.com/open?id=1Dafmza_UuEAlJCf0bE9D59p4Xe7xwpkE",Yes
24/03/2019 15:18:22,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)",Standard Density (excellent strength for most uses),Black (PETG + PLA),"https://drive.google.com/open?id=1FIbGaB5di5pj0BKRJAMNddf8qm-1Qkmq, https://drive.google.com/open?id=11E_xZU4InyHET50615JA-m1GvJ-rbghu",Yes
24/03/2019 20:18:55,Engineering,Coarse - 300 Microns (fastest print time + strongest part),"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)","Low Density (decent strength, suggested for art, sculptures, or certain toys and figurines)",Black (PETG + PLA),https://drive.google.com/open?id=1kGchMi4Cz8okp9Z6j49T2DpVXpAmilel,Yes
25/03/2019 10:33:55,Engineering,Standard - 200 Microns,"PETG ($0.20/gram, more durable, denser, and less rigid than ABS, less prone to warping - only in black and white)",Standard Density (excellent strength for most uses),Black (PETG + PLA),"https://drive.google.com/open?id=1jjEnLShagApbZX2baiRKMRvDHwInA6YF, https://drive.google.com/open?id=18cssf_VoPonX8M6NkX0sK7QCKrU34fWh, https://drive.google.com/open?id=1tXgAqmJt1hi4QP4pKjF9AmoFzzU4Z096",
26/03/2019 15:01:10,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)","Low Density (decent strength, suggested for art, sculptures, or certain toys and figurines)",Light Green (PLA),https://drive.google.com/open?id=1kGIf8ntgXNHet3dJaqE8zMZo6hOuTnlg,
28/03/2019 09:57:03,Architecture and Landscape Architecture,Coarse - 300 Microns (fastest print time + strongest part),"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)","Low Density (decent strength, suggested for art, sculptures, or certain toys and figurines)",White (PETG + ABS + PLA),"https://drive.google.com/open?id=1j1PF_hNEqmA7ynPaCA0n7fJGecyHrgIi, https://drive.google.com/open?id=1X0CbVq9B4WU-mzCxz6mUIPyYXRhn-U2R",Yes
28/03/2019 16:10:48,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)",Standard Density (excellent strength for most uses),White (PETG + ABS + PLA),https://drive.google.com/open?id=1DwKTB33uspA52cs22lWe4g_ILw9GEDL4,
31/03/2019 14:03:57,Port Moody Secondary Student,Standard - 200 Microns,"Ugly Flex (small prints only) ($0.50, strong, flexible and around 80% rubber elasticity - only in transparent red)",Standard Density (excellent strength for most uses),I picked a special filament,https://drive.google.com/open?id=1q6qaRBu1WnuIR0vp7ocoR1aCLto6rvNB,
31/03/2019 20:25:12,Engineering,Coarse - 300 Microns (fastest print time + strongest part),"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)","Low Density (decent strength, suggested for art, sculptures, or certain toys and figurines)",Red (PLA),https://drive.google.com/open?id=1IDwDWEgk3mbl92xHX6Tr_EdGZWxONzXS,Yes
01/04/2019 15:38:06,Science,Coarse - 300 Microns (fastest print time + strongest part),"PETG ($0.20/gram, more durable, denser, and less rigid than ABS, less prone to warping - only in black and white)",High Density (strongest),Black (PETG + PLA),"https://drive.google.com/open?id=1mLSrfEg_7871LRfQTSWk6TUArDHVBcdA, https://drive.google.com/open?id=1ftbnnUX4MgCLX7hreO0POgVT7IhZcEwk, https://drive.google.com/open?id=1GS3VPL8NE6SzkU9H2Zn_AiTHr4PlxXaY, https://drive.google.com/open?id=1VA1Ml6mZ1XZogUgguYzVqSWCKDV3XyY4",Yes
01/04/2019 19:01:14,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)",Standard Density (excellent strength for most uses),White (PETG + ABS + PLA),"https://drive.google.com/open?id=1WVa2hmaB19mIVflCKzIIBvbdbJrUAsHL, https://drive.google.com/open?id=17poJFnKuKYSExgAr0GuE2hZSERDCrLwk",Yes
06/04/2019 15:25:13,Engineering,Standard - 200 Microns,"PETG ($0.20/gram, more durable, denser, and less rigid than ABS, less prone to warping - only in black and white)",High Density (strongest),Black (PETG + PLA),https://drive.google.com/open?id=1JtdatLb6HLDJ-khF9p19Jzs0qz_XFTSB,
09/04/2019 12:16:01,Engineering,Standard - 200 Microns,"ASA (special request only, high UV resistance, weather resistance)",Standard Density (excellent strength for most uses),I picked a special filament,https://drive.google.com/open?id=1EEGDJRpymo1Esjjd_9K_iKCqsiGmaDLb,
11/04/2019 14:09:26,Arts,Coarse - 300 Microns (fastest print time + strongest part),"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)","Low Density (decent strength, suggested for art, sculptures, or certain toys and figurines)",Black (PETG + PLA),https://drive.google.com/open?id=140Oh4_tcHvGVMSGB4RJsHm9vmhWIec4X,
24/04/2019 15:49:53,waxit histology ,"Fine - 100 Microns (extra $3 fee per extra hour print time compared to standard, best surface quality and weakest part)","PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)",Standard Density (excellent strength for most uses),Dark Blue (PLA),https://drive.google.com/open?id=1acCpMPAL3FjtMQG2JOzHjAC32Zbz6kRF,
08/05/2019 21:50:34,Science,Coarse - 300 Microns (fastest print time + strongest part),"PLA ($0.15/gram, standard strength and durability, biodegradable and cornbased)","Low Density (decent strength, suggested for art, sculptures, or certain toys and figurines)",White (PETG + ABS + PLA),https://drive.google.com/open?id=1lUvAWYeAlz5rzeyyBM51NjFdpNthPo2P,
09/05/2019 16:45:34,Engineering,Standard - 200 Microns,Transparent PolyCarbonate (special request only),High Density (strongest),I picked a special filament,https://drive.google.com/open?id=1ZttsMiXCP-eyoHZkQSuWTtcMAFblqaWJ,
14/05/2019 09:26:56,Energy and Water Services,"Fine - 100 Microns (extra $3 fee per extra hour print time compared to standard, best surface quality and weakest part)","PETG ($0.20/gram, more durable, denser, and less rigid than ABS, less prone to warping - only in black and white)",High Density (strongest),Black (PETG + PLA),https://drive.google.com/open?id=14wffQY3BGNm_Jbk8n164Iy_W6pgxuh57,
